fid,id,ref_no,name,pointx_class,groupname,categoryname,classname,feature_easting,feature_northing,pos_accuracy,uprn,topo_toid,topo_toid_version,usrn,usrn_mi,distance,address_detail,street_name,locality,geographic_county,postcode,admin_boundary,telephone_number,provenance,supply_date,Latitude,Longitude
11003,11003,19951654,Acton Fire Station,6330414,Public Infrastructure,Central and Local Government,Fire Brigade Stations,519681,180086,1,12007895,osgb1000003512754,7,20600795,1,18.6,Acton Fire Station 25-27,Gunnersbury Lane,Acton,Greater London,W3 8EA,Ealing London Boro,,London Fire Brigade,2023/3/1,-0.276902793,51.50704198
11004,11004,19951655,Addington Fire Station,6330414,Public Infrastructure,Central and Local Government,Fire Brigade Stations,537698,163271,1,1.00023E+11,osgb1000006471604,3,20501776,1,35.2,Addington Fire Station 197-199,Lodge Lane,Croydon,Greater London,CR0 0QA,Croydon London Boro,,London Fire Brigade,2023/3/1,-0.023980415,51.3518388
11005,11005,19951656,Barking Fire Station,6330414,Public Infrastructure,Central and Local Government,Fire Brigade Stations,544989,183280,1,100053030,osgb1000042430642,11,19900634,1,43.8,Fire Station,Alfreds Way,Barking,Greater London,IG11 0BB,Barking and Dagenham London Boro,,London Fire Brigade,2023/3/1,0.088836224,51.52982114
11006,11006,19951657,Barnet Fire Station,6330414,Public Infrastructure,Central and Local Government,Fire Brigade Stations,525596.3,195828.6,1,200165697,osgb1000042157639,5,20040880,1,31.1,Barnet Fire Station 144,Station Road,"New Barnet, Barnet",Greater London,EN5 1TE,Barnet London Boro,,London Fire Brigade,2023/3/1,-0.186087979,51.6472379
11007,11007,19951658,Battersea Fire Station,6330414,Public Infrastructure,Central and Local Government,Fire Brigade Stations,527260,175829,1,1.00023E+11,osgb1000041643879,4,22901546,1,21.3,11,Este Road,London,Greater London,SW11 2TL,Wandsworth London Boro,,London Fire Brigade,2023/3/1,-0.169287152,51.46713025
11014,11014,19951659,Beckenham Fire Station,6330414,Public Infrastructure,Central and Local Government,Fire Brigade Stations,536834,169498,1,1.00023E+11,osgb1000006386751,9,20301488,1,28,Beckenham Fire Station 8,Beckenham Road,Beckenham,Greater London,BR3 4LR,Bromley London Boro,,London Fire Brigade,2023/3/1,-0.033983747,51.40800486
11015,11015,19951661,Bethnal Green Fire Station,6330414,Public Infrastructure,Central and Local Government,Fire Brigade Stations,535133.1,182792.3,1,6038800,osgb1000041687040,2,22701028,1,33.4,London Fire Brigade 11,Roman Road,London,Greater London,E2 0HU,Tower Hamlets London Boro,,London Fire Brigade,2023/3/1,-0.053344877,51.52788142
11016,11016,19951662,Bexley Fire Station,6330414,Public Infrastructure,Central and Local Government,Fire Brigade Stations,549705,175771,1,1.00023E+11,osgb1000000139121,7,20100511,1,23.8,Bexley Fire Station 172,Erith Road,Bexleyheath,Greater London,DA7 6BY,Bexley London Boro,,London Fire Brigade,2023/3/1,0.153589409,51.4611216
11017,11017,19951663,Biggin Hill Fire Station,6330414,Public Infrastructure,Central and Local Government,Fire Brigade Stations,541867,159131,1,1.00023E+11,osgb1000006890751,4,20301515,1,22.5,Biggin Hill Fire Station 2,Kingsmead,Biggin Hill,Greater London,TN16 3UB,Bromley London Boro,,London Fire Brigade,2023/3/1,0.034201867,51.31361215
11018,11018,19951664,Bow Fire Station,6330414,Public Infrastructure,Central and Local Government,Fire Brigade Stations,536984,183517,1,6719595,osgb5000005212012807,2,22700917,1,13.8,64,Parnell Road,London,Greater London,E3 2RU,Tower Hamlets London Boro,,London Fire Brigade,2023/3/1,-0.026397838,51.53394836
11019,11019,19951665,Brixton Fire Station,6330414,Public Infrastructure,Central and Local Government,Fire Brigade Stations,531432,175548,1,1.00023E+11,osgb1000005713687,4,21900641,1,20.6,Brixton Fire Station 84,Gresham Road,London,Greater London,SW9 7NP,Lambeth London Boro,,London Fire Brigade,2023/3/1,-0.109363614,51.46365231
11020,11020,19951666,Bromley Fire Station,6330414,Public Infrastructure,Central and Local Government,Fire Brigade Stations,540385,169485,1,1.00023E+11,osgb1000006796323,4,20300615,1,16.2,Bromley Fire Station 4,South Street,Bromley,Greater London,BR1 1RH,Bromley London Boro,,London Fire Brigade,2023/3/1,0.017032881,51.40702134
11021,11021,19951667,Chelsea Fire Station,6330414,Public Infrastructure,Central and Local Government,Fire Brigade Stations,527143.6,178062.7,1,217047143,osgb1000042195073,2,21700299,1,28.3,Fire Station 264,King's Road,London,Greater London,SW3 5UF,Kensington and Chelsea London Boro,,London Fire Brigade,2023/3/1,-0.170159312,51.48723069
11022,11022,19951668,Chingford Fire Station,6330414,Public Infrastructure,Central and Local Government,Fire Brigade Stations,538192,194190,1,2.00001E+11,osgb1000006658681,4,22870050,1,39.3,Chingford Fire Station 34,The Ridgeway,Chingford,Greater London,E4 6PP,Waltham Forest London Boro,,London Fire Brigade,2023/3/1,-0.004797499,51.62956028
11023,11023,19951669,Chiswick Fire Station,6330414,Public Infrastructure,Central and Local Government,Fire Brigade Stations,520271.8,178257.6,1,1.00023E+11,osgb1000041483467,6,21500589,1,27.3,Chiswick Fire Station 2-4,Heathfield Gardens,"Chiswick, London",Greater London,W4 4JY,Hounslow London Boro,,London Fire Brigade,2023/3/1,-0.269016974,51.49048388
11024,11024,19951670,Clapham Fire Station,6330414,Public Infrastructure,Central and Local Government,Fire Brigade Stations,529234,175641,1,1.00023E+11,osgb1000005412059,5,21901052,1,18.8,Clapham Fire Station 29,Old Town,London,Greater London,SW4 0JT,Lambeth London Boro,,London Fire Brigade,2023/3/1,-0.140952824,51.46499383
11025,11025,19951672,Croydon Fire Station,6330414,Public Infrastructure,Central and Local Government,Fire Brigade Stations,531995,165038,1,2.00001E+11,osgb1000042249571,20,20501261,1,31.5,Croydon Fire Station 90,Old Town,Croydon,Greater London,CR0 1AR,Croydon London Boro,,London Fire Brigade,2023/3/1,-0.105173804,51.36907055
11026,11026,19951673,Dagenham Fire Station,6330414,Public Infrastructure,Central and Local Government,Fire Brigade Stations,549606,186718,1,100024983,osgb1000000164082,4,19900293,1,28.9,Fire Station,Rainham Road North,Dagenham,Greater London,RM10 7ES,Barking and Dagenham London Boro,,London Fire Brigade,2023/3/1,0.156806762,51.55950891
11028,11028,19951674,Deptford Fire Station,6330414,Public Infrastructure,Central and Local Government,Fire Brigade Stations,536615,178044,1,1.00023E+11,osgb1000041728132,6,22004367,1,22.2,Deptford Fire Station 186,Evelyn Street,London,Greater London,SE8 5DB,Lewisham London Boro,,London Fire Brigade,2023/3/1,-0.033834461,51.48485563
11029,11029,19951675,Dockhead Fire Station,6330414,Public Infrastructure,Central and Local Government,Fire Brigade Stations,534007,179739,1,2.00003E+11,osgb1000006172774,7,22502734,1,13.6,Dockhead Fire Station 8,Wolseley Street,London,Greater London,SE1 2BP,Southwark London Boro,,London Fire Brigade,2023/3/1,-0.070728947,51.50071156
11030,11030,19951677,Ealing Fire Station,6330414,Public Infrastructure,Central and Local Government,Fire Brigade Stations,517089,180592,1,12132972,osgb1000003297633,4,20602315,1,44.2,Ealing Fire Station 60-64,Uxbridge Road,West Ealing,Greater London,W13 8RA,Ealing London Boro,,London Fire Brigade,2023/3/1,-0.314065461,51.51213196
11031,11031,19951678,East Greenwich Fire Station,6330414,Public Infrastructure,Central and Local Government,Fire Brigade Stations,540490,178392.1,1,1.00023E+11,osgb1000041843829,10,20801725,1,45,East Greenwich Fire Station 325,Woolwich Road,Greenwich,Greater London,SE7 7RF,Greenwich London Boro,,London Fire Brigade,2023/3/1,0.022074619,51.48703514
11032,11032,19951679,East Ham Fire Station,6330414,Public Infrastructure,Central and Local Government,Fire Brigade Stations,542801,182520.5,1,10008993909,osgb1000041879781,6,22200716,1,20.6,East Ham Fire Station 210,High Street South,"East Ham, London",Greater London,E6 3RS,Newham London Boro,,London Fire Brigade,2023/3/1,0.057007789,51.52355346
11033,11033,19951680,Edmonton Fire Station,6330414,Public Infrastructure,Central and Local Government,Fire Brigade Stations,533749.4,193809.9,1,207042568,osgb1000006077007,4,20704052,1,28.2,Fire Station 99,Church Street,Edmonton,Greater London,N9 9AA,Enfield London Boro,,London Fire Brigade,2023/3/1,-0.069089458,51.62721833
11034,11034,19951681,Eltham Fire Station,6330414,Public Infrastructure,Central and Local Government,Fire Brigade Stations,543207.7,174425.2,1,2.00001E+11,osgb1000042497190,4,20800526,1,13,Eltham Fire Station 226,Eltham High Street,Eltham,Greater London,SE9 1BA,Greenwich London Boro,,London Fire Brigade,2023/3/1,0.059584526,51.45070839
11035,11035,19951682,Enfield Fire Station,6330414,Public Infrastructure,Central and Local Government,Fire Brigade Stations,534835,197511,1,207154184,osgb1000006230051,7,20702569,1,34.8,Fire Station,Carterhatch Lane,Enfield,Greater London,EN1 4LA,Enfield London Boro,,London Fire Brigade,2023/3/1,-0.051989117,51.66021826
11036,11036,19951683,Erith Fire Station,6330414,Public Infrastructure,Central and Local Government,Fire Brigade Stations,549831.5,178489.3,1,1.00023E+11,osgb1000000150046,8,20101659,1,29.2,Erith Fire Station,Erith Road,Belvedere,Greater London,DA17 6HR,Bexley London Boro,,London Fire Brigade,2023/3/1,0.15656157,51.48551265
11037,11037,19951684,Euston Fire Station,6330414,Public Infrastructure,Central and Local Government,Fire Brigade Stations,529772,182635,1,5055100,osgb1000005429410,4,20400889,1,30.4,Euston Fire Station 172,Euston Road,London,Greater London,NW1 2DH,Camden London Boro,,London Fire Brigade,2023/3/1,-0.130642359,51.52772489
11038,11038,19951685,Feltham Fire Station,6330414,Public Infrastructure,Central and Local Government,Fire Brigade Stations,510292.6,174713,1,1.00023E+11,osgb1000002567956,4,21500428,1,25.3,Feltham Fire Station 101,Faggs Road,Feltham,Greater London,TW14 0LZ,Hounslow London Boro,,London Fire Brigade,2023/3/1,-0.413799027,51.46065654
11039,11039,19951686,Finchley Fire Station,6330414,Public Infrastructure,Central and Local Government,Fire Brigade Stations,526198.7,190359.4,1,200221520,osgb1000004351317,4,20027220,1,30.9,Finchley Fire Station 227,Long Lane,"Finchley, London",Greater London,N3 2RP,Barnet London Boro,,London Fire Brigade,2023/3/1,-0.179354567,51.59795288
11040,11040,19951687,Forest Hill Fire Station,6330414,Public Infrastructure,Central and Local Government,Fire Brigade Stations,535962,173316,1,1.00023E+11,osgb1000006281652,4,22004078,1,28.6,Forest Hill Fire Station 155,Stanstead Road,"Catford, London",Greater London,SE23 1HP,Lewisham London Boro,,London Fire Brigade,2023/3/1,-0.045050111,51.44252482
11041,11041,19951688,Fulham Fire Station,6330414,Public Infrastructure,Central and Local Government,Fire Brigade Stations,525034,176973,1,34069488,osgb1000042143308,4,21000359,1,15.8,Fulham Fire Station 685,Fulham Road,London,Greater London,SW6 5UJ,Hammersmith and Fulham London Boro,,London Fire Brigade,2023/3/1,-0.200912774,51.47790724
11042,11042,19951689,Greenwich Fire Station,6330414,Public Infrastructure,Central and Local Government,Fire Brigade Stations,538050.3,176883.5,1,1.00023E+11,osgb1000042364749,4,20800186,1,11,Greenwich Fire Station 4,Blissett Street,Greenwich,Greater London,SE10 8UP,Greenwich London Boro,,London Fire Brigade,2023/3/1,-0.013629981,51.47407868
11046,11046,19951690,Hainault Fire Station,6330414,Public Infrastructure,Central and Local Government,Fire Brigade Stations,545835,191807,1,1.00023E+11,osgb1000007394522,4,22304684,1,30.6,Hainault Fire Station 386-388,New North Road,"Hainault, Ilford",Greater London,IG6 3DY,Redbridge London Boro,,London Fire Brigade,2023/3/1,0.104558863,51.60622179
11047,11047,19951691,Hammersmith Fire Station,6330414,Public Infrastructure,Central and Local Government,Fire Brigade Stations,523365,178961,1,34133162,osgb1000001796534382,5,21000727,1,25.1,Hammersmith Fire Station and Community Safety Centre 190-192,Shepherd's Bush Road,London,Greater London,W6 7NL,Hammersmith and Fulham London Boro,,London Fire Brigade,2023/3/1,-0.224239876,51.49614008
11048,11048,19951692,Harrow Fire Station,6330414,Public Infrastructure,Central and Local Government,Fire Brigade Stations,513268.4,189262.3,1,2E+11,osgb1000002934240,4,21201353,1,33.8,Harrow Fire Station,Pinner Road,Harrow,Greater London,HA5 5RW,Harrow London Boro,,London Fire Brigade,2023/3/1,-0.366308887,51.59083786
11049,11049,19951693,Hayes Fire Station,6330414,Public Infrastructure,Central and Local Government,Fire Brigade Stations,508968,178446,1,1.00023E+11,osgb1000002422367,3,21401739,1,26,Hayes Fire Station 65,Shepiston Lane,Hayes,Greater London,UB3 1LL,Hillingdon London Boro,,London Fire Brigade,2023/3/1,-0.431708368,51.4944666
11050,11050,19951694,Hendon Fire Station,6330414,Public Infrastructure,Central and Local Government,Fire Brigade Stations,522801.8,189269.2,1,200166892,osgb1000003835498,4,20006280,1,36.2,Hendon Fire Station 91,The Burroughs,"Hendon, London",Greater London,NW4 4BL,Barnet London Boro,,London Fire Brigade,2023/3/1,-0.228753152,51.58890574
11051,11051,19951695,Heston Fire Station,6330414,Public Infrastructure,Central and Local Government,Fire Brigade Stations,515156,176414,1,1.00023E+11,osgb1000003085561,4,21500707,1,27.3,Fire Station Flats 520,London Road,Isleworth,Greater London,TW7 4HR,Hounslow London Boro,,London Fire Brigade,2023/3/1,-0.343270914,51.47497727
11052,11052,19951696,Hillingdon Fire Station,6330414,Public Infrastructure,Central and Local Government,Fire Brigade Stations,507470,182596,1,1.00023E+11,osgb1000002364380,3,21402681,1,29,Hillingdon Fire Station,Uxbridge Road,Uxbridge,Greater London,UB10 0PH,Hillingdon London Boro,,London Fire Brigade,2023/3/1,-0.452014659,51.53205423
11053,11053,19951697,Holloway Fire Station,6330414,Public Infrastructure,Central and Local Government,Fire Brigade Stations,530688,186415,1,5300050556,osgb1000005591431,4,21603387,1,17.9,Holloway Fire Station 264,Hornsey Road,"Islington, London",Greater London,N7 7QT,Islington London Boro,,London Fire Brigade,2023/3/1,-0.116042331,51.56148363
11054,11054,19951698,Homerton Fire Station,6330414,Public Infrastructure,Central and Local Government,Fire Brigade Stations,535729.1,185111.3,1,1.00023E+11,osgb1000006316184,7,20900533,1,30.2,Homerton Fire Station 97,Homerton High Street,"Hackney, London",Greater London,E9 6DL,Hackney London Boro,,London Fire Brigade,2023/3/1,-0.043865081,51.54857768
11055,11055,19951699,Hornchurch Fire Station,6330414,Public Infrastructure,Central and Local Government,Fire Brigade Stations,554005.3,187409.9,1,1.00023E+11,osgb1000000445306,10,21300513,1,22.9,Hornchurch Fire Station 42,North Street,Hornchurch,Greater London,RM11 1SH,Havering London Boro,,London Fire Brigade,2023/3/1,0.220521609,51.56454248
11056,11056,19951700,Hornsey Fire Station,6330414,Public Infrastructure,Central and Local Government,Fire Brigade Stations,529839,189178,1,1.00023E+11,osgb1000005453263,2,21100674,1,22.8,Hornsey Fire Station 108,Park Avenue South,"Hornsey, London",Greater London,N8 8LS,Haringey London Boro,,London Fire Brigade,2023/3/1,-0.127263312,51.58650948
11057,11057,19951701,Ilford Fire Station,6330414,Public Infrastructure,Central and Local Government,Fire Brigade Stations,544966,186874,1,10034922358,osgb1000007195128,4,22306010,1,36.8,Ilford Fire Station 460,High Road,Ilford,Greater London,IG1 1UE,Redbridge London Boro,,London Fire Brigade,2023/3/1,0.08998374,51.56212063
11058,11058,19951702,Islington Fire Station,6330414,Public Infrastructure,Central and Local Government,Fire Brigade Stations,531696,184076,1,5300095067,osgb1000005743993,5,21606199,1,12.2,Islington Fire Station 278,Upper Street,"Islington, London",Greater London,N1 2TZ,Islington London Boro,,London Fire Brigade,2023/3/1,-0.102384105,51.54022965
11059,11059,19951703,Kensington Fire Station,6330414,Public Infrastructure,Central and Local Government,Fire Brigade Stations,525716,179778,1,217061488,osgb1000042147709,4,21700374,1,27.2,Fire Station 13,Old Court Place,London,Greater London,W8 4PL,Kensington and Chelsea London Boro,,London Fire Brigade,2023/3/1,-0.190099109,51.50296522
11060,11060,19951704,Kentish Town Fire Station,6330414,Public Infrastructure,Central and Local Government,Fire Brigade Stations,528933,185393,1,5024751,osgb1000005304468,5,20400091,1,19.6,Kentish Town Fire Station 20,Highgate Road,London,Greater London,NW5 1NS,Camden London Boro,,London Fire Brigade,2023/3/1,-0.141720498,51.55270273
11063,11063,19951706,Kingston (London) Fire Station,6330414,Public Infrastructure,Central and Local Government,Fire Brigade Stations,517819,171393,1,128016167,osgb1000003279514,2,21800806,1,24.6,Fire Station 390,Richmond Road,Kingston-upon-Thames,Greater London,KT2 5PR,Kingston upon Thames London Boro,,London Fire Brigade,2023/3/1,-0.306614844,51.42930246
11064,11064,19951707,Lambeth Fire Station,6330414,Public Infrastructure,Central and Local Government,Fire Brigade Stations,530523.4,178781,1,1.00023E+11,osgb1000005571416,4,21900079,1,13.9,8,Albert Embankment,London,Greater London,SE1 7SP,Lambeth London Boro,,London Fire Brigade,2023/3/1,-0.121242726,51.49291672
11065,11065,19951708,Lee Green Fire Station,6330414,Public Infrastructure,Central and Local Government,Fire Brigade Stations,539926.8,174983.6,1,10010195258,osgb1000041831279,4,20800530,1,33.6,Lee Green Fire Station 9,Eltham Road,Eltham,Greater London,SE12 8ES,Greenwich London Boro,,London Fire Brigade,2023/3/1,0.012619827,51.45654567
11066,11066,19951709,Leyton Fire Station,6330414,Public Infrastructure,Central and Local Government,Fire Brigade Stations,537562,186780,1,1.00024E+11,osgb1000006521045,7,22826500,1,28.8,Leyton Fire Station 90b,Church Road,Leyton,Greater London,E10 5HG,Waltham Forest London Boro,,London Fire Brigade,2023/3/1,-0.016794962,51.56312972
11067,11067,19951710,Mill Hill Fire Station,6330414,Public Infrastructure,Central and Local Government,Fire Brigade Stations,521728.3,192152,1,,osgb1000003749391,2,20021120,2,18.1,Mill Hill Fire Station 10,Hartley Avenue,London,Greater London,NW7 2HX,Barnet London Boro,,London Fire Brigade,2023/3/1,-0.243242781,51.61504616
11068,11068,19951711,Millwall Fire Station,6330414,Public Infrastructure,Central and Local Government,Fire Brigade Stations,537136,179834,1,6653281,osgb1000001769602945,5,22701325,2,25.2,43,Westferry Road,Millwall,Greater London,E14 8JH,Tower Hamlets London Boro,,London Fire Brigade,2023/3/1,-0.025640344,51.50081513
11069,11069,19951712,Mitcham Fire Station,6330414,Public Infrastructure,Central and Local Government,Fire Brigade Stations,527509,168581.6,1,48045304,osgb1000005108887,8,22104032,2,32.6,Mitcham Fire Station 30,Lower Green West,Mitcham,Greater London,CR4 3AF,Merton London Boro,,London Fire Brigade,2023/3/1,-0.168310912,51.4019404
11070,11070,19951713,New Cross Fire Station,6330414,Public Infrastructure,Central and Local Government,Fire Brigade Stations,535577,176764,1,1.00023E+11,osgb1000041672672,2,22004463,1,26.7,New Cross Fire Station 266,Queens Road,London,Greater London,SE14 5JN,Lewisham London Boro,,London Fire Brigade,2023/3/1,-0.049265693,51.47360262
11071,11071,19951714,New Malden Fire Station,6330414,Public Infrastructure,Central and Local Government,Fire Brigade Stations,522158.6,168131.6,1,48009577,osgb1000041518345,3,22100936,1,28.4,Fire Station 180,Burlington Road,New Malden,Greater London,KT3 4RW,Merton London Boro,,London Fire Brigade,2023/3/1,-0.245344594,51.39907266
11072,11072,19951715,Norbury Fire Station,6330414,Public Infrastructure,Central and Local Government,Fire Brigade Stations,530759,169205,1,2.00001E+11,osgb1000042239078,2,20502653,1,27.5,Fire Station 1321,London Road,"Norbury, London",Greater London,SW16 4AU,Croydon London Boro,,London Fire Brigade,2023/3/1,-0.121385697,51.40680438
11073,11073,19951716,North Kensington Fire Station,6330414,Public Infrastructure,Central and Local Government,Fire Brigade Stations,524132.3,181839.3,1,217048601,osgb1000042124087,4,21700912,1,25.1,North Kensington Fire Station 242,Ladbroke Grove,London,Greater London,W10 5LT,Kensington and Chelsea London Boro,,London Fire Brigade,2023/3/1,-0.212179256,51.52184036
11074,11074,19951717,Northolt Fire Station,6330414,Public Infrastructure,Central and Local Government,Fire Brigade Stations,513827,185250,1,12000995,osgb1000002920183,7,20601373,1,24.5,Northolt Fire Station 74,Petts Hill,Northolt,Greater London,UB5 4JT,Ealing London Boro,,London Fire Brigade,2023/3/1,-0.359547914,51.55466305
11075,11075,19951718,Old Kent Road Fire Station,6330414,Public Infrastructure,Central and Local Government,Fire Brigade Stations,533850,178219,1,2.00003E+11,osgb5000005152930969,1,22501843,1,28.1,Fire Station 405,Old Kent Road,London,Greater London,SE1 5JH,Southwark London Boro,,London Fire Brigade,2023/3/1,-0.073565709,51.48708922
11076,11076,19951719,Orpington Fire Station,6330414,Public Infrastructure,Central and Local Government,Fire Brigade Stations,547011.3,165797.9,1,1.00023E+11,osgb5000005186594457,3,20300005,1,23.2,Orpington Fire Station 13,Avalon Road,Orpington,Greater London,BR6 9AX,Bromley London Boro,,London Fire Brigade,2023/3/1,0.110710373,51.37221458
11077,11077,19951720,Paddington Fire Station,6330414,Public Infrastructure,Central and Local Government,Fire Brigade Stations,526160,181709,1,10033599881,osgb1000042174296,4,8400530,1,31.3,Paddington Fire Station 156,Harrow Road,London,Greater London,W2 6NL,City of Westminster London Boro,,London Fire Brigade,2023/3/1,-0.183014747,51.52022051
11078,11078,19951721,Park Royal Fire Station,6330414,Public Infrastructure,Central and Local Government,Fire Brigade Stations,520447,183305,1,202032712,osgb1000042011656,5,20201160,1,22.9,Park Royal Fire Station 15,Waxlow Road,London,Greater London,NW10 7NU,Brent London Boro,,London Fire Brigade,2023/3/1,-0.264771093,51.5358102
11079,11079,19951722,Peckham Fire Station,6330414,Public Infrastructure,Central and Local Government,Fire Brigade Stations,533584,176741,1,2.00003E+11,osgb1000006020943,4,22501935,1,34.5,Peckham Fire Station 78-80,Peckham Road,London,Greater London,SE5 8PR,Southwark London Boro,,London Fire Brigade,2023/3/1,-0.077953021,51.47386984
11080,11080,19951723,Plaistow Fire Station,6330414,Public Infrastructure,Central and Local Government,Fire Brigade Stations,541079,182189,1,10008992181,osgb5000005153035231,1,22200973,1,16.1,Plaistow Fire Station 145,Prince Regent Lane,"Plaistow, London",Greater London,E13 8RY,Newham London Boro,,London Fire Brigade,2023/3/1,0.03207079,51.52100719
11081,11081,19951724,Plumstead Fire Station,6330414,Public Infrastructure,Central and Local Government,Fire Brigade Stations,545313,178574,1,10010194134,osgb1000007367853,2,20800879,1,18.8,Plumstead Fire Station 1,Lakedale Road,Plumstead,Greater London,SE18 1PP,Greenwich London Boro,,London Fire Brigade,2023/3/1,0.091566182,51.48745177
11082,11082,19951725,Poplar Fire Station,6330414,Public Infrastructure,Central and Local Government,Fire Brigade Stations,537867,180983,1,6064924,osgb1000006510950,6,22700445,1,16,Poplar Fire Station 168,East India Dock Road,London,Greater London,E14 0BP,Tower Hamlets London Boro,,London Fire Brigade,2023/3/1,-0.014666361,51.51096273
11083,11083,19951726,Purley Fire Station,6330414,Public Infrastructure,Central and Local Government,Fire Brigade Stations,530721,160856,1,10001000237,osgb5000005174987796,1,20500187,1,23.2,Purley Fire Station 128,Brighton Road,Purley,Greater London,CR8 4DB,Croydon London Boro,,London Fire Brigade,2023/3/1,-0.124999521,51.3317811
11084,11084,19951727,Ruislip Fire Station,6330414,Public Infrastructure,Central and Local Government,Fire Brigade Stations,508405.4,188882.9,1,1.00023E+11,osgb1000002439708,4,21400283,1,27.5,Ruislip Fire Station 2,Bury Street,Ruislip,Greater London,HA4 7TW,Hillingdon London Boro,,London Fire Brigade,2023/3/1,-0.436597137,51.58838325
11085,11085,19951728,Shadwell Fire Station,6330414,Public Infrastructure,Central and Local Government,Fire Brigade Stations,535013,180896,1,,osgb5000005184403467,1,22700152,3,24.5,Shadwell Fire Station 290,Cable Street,London,Greater London,E1 0BX,Tower Hamlets London Boro,,London Fire Brigade,2023/3/1,-0.055801437,51.51086951
11086,11086,19951729,Shoreditch Fire Station,6330414,Public Infrastructure,Central and Local Government,Fire Brigade Stations,532911.6,182576.7,1,1.00023E+11,osgb1000005893286,2,20900761,1,25.7,Shoreditch Fire Station 235,Old Street,"Hackney, London",Greater London,EC1V 9EY,Hackney London Boro,,London Fire Brigade,2023/3/1,-0.085431667,51.52647128
11087,11087,19951730,Sidcup Fire Station,6330414,Public Infrastructure,Central and Local Government,Fire Brigade Stations,545682,171873,1,,osgb1000042434145,2,20100908,2,18.7,162,Main Road,Sidcup,Greater London,DA14 6NZ,Bexley London Boro,,London Fire Brigade,2023/3/1,0.094118054,51.42714455
11088,11088,19951732,Soho Fire Station,6330414,Public Infrastructure,Central and Local Government,Fire Brigade Stations,529856,180942,1,1.00023E+11,osgb1000042218564,3,8400552,1,21.1,Soho Fire Station 126-128,Shaftesbury Avenue,London,Greater London,W1D 5ET,City of Westminster London Boro,,London Fire Brigade,2023/3/1,-0.130055732,51.51249085
11089,11089,19951733,Southall Fire Station,6330414,Public Infrastructure,Central and Local Government,Fire Brigade Stations,512904,180395,1,12133975,osgb1000002794078,5,20602250,1,21.6,Southall Fire Station 17-19,High Street,Southall,Greater London,UB1 3HA,Ealing London Boro,,London Fire Brigade,2023/3/1,-0.374410717,51.51121219
11090,11090,19951734,Southgate Fire Station,6330414,Public Infrastructure,Central and Local Government,Fire Brigade Stations,529705,194071,1,207179185,osgb1000005467586,3,20701608,1,27.8,Fire Station 96,High Street,Southgate,Greater London,N14 6BN,Enfield London Boro,,London Fire Brigade,2023/3/1,-0.127387526,51.63051121
11091,11091,19951736,Stanmore Fire Station,6330414,Public Infrastructure,Central and Local Government,Fire Brigade Stations,517993,190796,1,10002294818,osgb1000003326438,7,21200986,1,28.6,Stanmore Fire Station 650,Honeypot Lane,Stanmore,Greater London,HA7 1JS,Harrow London Boro,,London Fire Brigade,2023/3/1,-0.297622676,51.60365309
11092,11092,19951737,Stoke Newington Fire Station,6330414,Public Infrastructure,Central and Local Government,Fire Brigade Stations,533401.1,186592.8,1,1.00023E+11,osgb1000006051313,5,20900975,1,27.8,Stoke Newington Fire Station 64,Stoke Newington Church Street,"Hackney, London",Greater London,N16 0AP,Hackney London Boro,,London Fire Brigade,2023/3/1,-0.076858885,51.56244602
11093,11093,19951738,Stratford Fire Station,6330414,Public Infrastructure,Central and Local Government,Fire Brigade Stations,539578,184675,1,46099182,osgb1000006732912,6,22208081,1,35.7,Stratford Fire Station 117,Romford Road,"Stratford, London",Greater London,E15 4LY,Newham London Boro,,London Fire Brigade,2023/3/1,0.011435249,51.54371936
11094,11094,19951739,Surbiton Fire Station,6330414,Public Infrastructure,Central and Local Government,Fire Brigade Stations,518514,167286,1,128006820,osgb1000041422399,4,21800386,1,31.1,Fire Station 31-33,Ewell Road,Surbiton,Greater London,KT6 6AF,Kingston upon Thames London Boro,,London Fire Brigade,2023/3/1,-0.297993144,51.39224493
11095,11095,19951740,Sutton (Surrey) Fire Station,6330414,Public Infrastructure,Central and Local Government,Fire Brigade Stations,524623,164847,1,5870021065,osgb1000042091163,4,22605525,1,36.2,Sutton Fire Station 43,St Dunstans Hill,Cheam,Greater London,SM1 2JX,Sutton London Boro,,London Fire Brigade,2023/3/1,-0.211087473,51.36901729
11096,11096,19951741,Tooting Fire Station,6330414,Public Infrastructure,Central and Local Government,Fire Brigade Stations,527798,172583,1,1.00023E+11,osgb1000041638323,3,22906604,1,25.6,Tooting Fire Station 89-91,Trinity Road,London,Greater London,SW17 7SQ,Wandsworth London Boro,,London Fire Brigade,2023/3/1,-0.162717136,51.437837
11097,11097,19951742,Tottenham Fire Station,6330414,Public Infrastructure,Central and Local Government,Fire Brigade Stations,533675,189942,1,1.00023E+11,osgb1000006062150,6,21105075,1,24.7,Tottenham Fire Station 49,St Loys Road,"Tottenham, London",Greater London,N17 6UE,Haringey London Boro,,London Fire Brigade,2023/3/1,-0.071637348,51.59247814
11098,11098,19951743,Twickenham Fire Station,6330414,Public Infrastructure,Central and Local Government,Fire Brigade Stations,514957,171984,1,1.00023E+11,osgb1000002977893,3,22401854,1,21.5,Twickenham Fire Station 30,South Road,Twickenham,Greater London,TW2 5NT,Richmond upon Thames London Boro,,London Fire Brigade,2023/3/1,-0.347573401,51.43520178
