IncidentNumber,DateOfCall,CalYear,TimeOfCall,HourOfCall,IncidentGroup,StopCodeDescription,SpecialServiceType,PropertyCategory,PropertyType,AddressQualifier,Postcode_full,Postcode_district,UPRN,USRN,IncGeo_BoroughCode,IncGeo_BoroughName,ProperCase,IncGeo_WardCode,IncGeo_WardName,IncGeo_WardNameNew,Easting_m,Northing_m,Easting_rounded,Northing_rounded,Latitude,Longitude,FRS,IncidentStationGround,FirstPumpArriving_AttendanceTime,FirstPumpArriving_DeployedFromStation,SecondPumpArriving_AttendanceTime,SecondPumpArriving_DeployedFromStation,NumStationsWithPumpsAttending,NumPumpsAttending,PumpCount,PumpHoursRoundUp,Notional Cost (£),NumCalls
000051-01012023,44927,2023,0.018148148,0,Fire,Secondary Fire,,Outdoor Structure,Small refuse/rubbish container,Correct incident location,EN1 1DD,EN1,207039918,20702666,E09000010,ENFIELD,Enfield,E05013691,SOUTHBURY,SOUTHBURY,534107,195909,534150,195950,51.64599926,-0.063120487,London,Edmonton,587,Southgate,,,1,1,1,1,364,2
000053-01012023,44927,2023,0.01837963,0,Fire,Secondary Fire,,Outdoor Structure,Small refuse/rubbish container,In street outside gazetteer location,TW5 0DR,TW5,1.00023E+11,21501151,E09000018,HOUNSLOW,Hounslow,E05013617,HESTON CENTRAL,HESTON CENTRAL,512505,177291,512550,177250,51.48339632,-0.381136414,London,Heston,405,Feltham,,,1,1,1,1,364,1
000055-01012023,44927,2023,0.018923611,0,Special Service,Special Service,Effecting entry/exit,Dwelling,House - single occupancy ,Correct incident location,,SM1,0,22605702,E09000029,SUTTON,Sutton,E05013768,SUTTON WEST & EAST CHEAM,SUTTON WEST & EAST CHEAM,,,525250,164050,,,London,Sutton,248,Sutton,,,1,1,1,1,364,1
000056-01012023,44927,2023,0.019652778,0,Fire,Secondary Fire,,Outdoor Structure,Wheelie bin (domestic size),On land associated with building,E15 3PS,E15,46010070,22201331,E09000025,NEWHAM,Newham,E05013927,WEST HAM,WEST HAM,539873,183744,539850,183750,51.53528457,0.015323245,London,Stratford,233,Stratford,,,1,1,1,1,364,1
000059-01012023,44927,2023,0.021134259,0,Fire,Secondary Fire,,Outdoor,Road surface/pavement ,In street outside gazetteer location,BR3 1RR,BR3,10070020456,20302216,E09000006,BROMLEY,Bromley,E05013987,BECKENHAM TOWN & COPERS COPE,BECKENHAM TOWN & COPERS COPE,537298,170610,537250,170650,51.41788764,-0.026874485,London,Beckenham,434,Beckenham,,,1,1,1,1,364,1
000060-01012023,44927,2023,0.021365741,0,Fire,Secondary Fire,,Outdoor,Loose refuse ,In street close to gazetteer location,CR0 8EB,CR0,1.00023E+11,20500586,E09000008,CROYDON,Croydon,E05011483,SHIRLEY SOUTH,SHIRLEY SOUTH,537343,166083,537350,166050,51.37720048,-0.027975075,London,Woodside,364,Woodside,,,1,1,1,1,364,2
000061-01012023,44927,2023,0.021377315,0,Fire,Secondary Fire,,Outdoor Structure,Wheelie bin (domestic size),In street outside gazetteer location,TW13 6YN,TW13,1.00022E+11,21501448,E09000018,HOUNSLOW,Hounslow,E05013616,HANWORTH VILLAGE,HANWORTH VILLAGE,512063,171938,512050,171950,51.43537417,-0.38919412,London,Feltham,458,Twickenham,,,1,1,1,1,364,1
000064-01012023,44927,2023,0.022118056,0,Fire,Secondary Fire,,Outdoor,Road surface/pavement ,In street outside gazetteer location,N2 0DW,N2,200143369,20019380,E09000003,BARNET,Barnet,E05013641,GARDEN SUBURB,GARDEN SUBURB,526228,188990,526250,188950,51.58564654,-0.179416681,London,Finchley,469,Hendon,,,1,1,1,1,364,2
000065-01012023,44927,2023,0.022175926,0,False Alarm,AFA,,Dwelling,Self contained Sheltered Housing ,Correct incident location,,E4,0,22812775,E09000031,WALTHAM FOREST,Waltham Forest,E05013894,LARKSWOOD,LARKSWOOD,,,538050,192750,,,London,Chingford,369,Chingford,462,Woodford,2,2,2,1,364,1
000066-01012023,44927,2023,0.022199074,0,Special Service,Special Service,Flooding,Dwelling,House - single occupancy ,Correct incident location,,E10,0,22864000,E09000031,WALTHAM FOREST,Waltham Forest,E05013896,LEYTON,LEYTON,,,537650,186550,,,London,Leyton,176,Leyton,,,1,1,1,1,364,1
000067-01012023,44927,2023,0.022303241,0,Fire,Secondary Fire,,Outdoor,Road surface/pavement ,In street outside gazetteer location,EN2 6ES,EN2,207125225,20702812,E09000010,ENFIELD,Enfield,E05013681,GRANGE PARK,GRANGE PARK,532938,195971,532950,195950,51.64683263,-0.079974171,London,Enfield,312,Enfield,,,1,1,1,1,364,1
000068-01012023,44927,2023,0.022407407,0,Special Service,Special Service,Other rescue/release of persons,Outdoor,Railway trackside vegetation ,On land associated with building,E14 6UE,E14,6154557,22700271,E09000030,TOWER HAMLETS,Tower Hamlets,E05009325,LANSBURY,LANSBURY,537900,181461,537950,181450,51.51525695,-0.013999525,London,Poplar,171,Poplar,356,Millwall,2,2,2,2,728,1
000070-01012023,44927,2023,0.023946759,0,Fire,Secondary Fire,,Outdoor Structure,Small refuse/rubbish container,In street outside gazetteer location,N18 2JN,N18,207051920,20704653,E09000010,ENFIELD,Enfield,E05013694,UPPER EDMONTON,UPPER EDMONTON,534362,192200,534350,192250,51.61260959,-0.060854655,London,Edmonton,477,Enfield,,,1,1,1,1,364,1
000071-01012023,44927,2023,0.024606481,0,Fire,Primary Fire,,Dwelling,Purpose Built Flats/Maisonettes - 10 or more storeys ,Correct incident location,,SE18,0,20801579,E09000011,GREENWICH,Greenwich,E05014094,WOOLWICH DOCKYARD,WOOLWICH DOCKYARD,,,543250,178650,,,London,Plumstead,486,East Greenwich,,,1,1,1,1,364,7
000072-01012023,44927,2023,0.025069444,0,Fire,Secondary Fire,,Outdoor,Loose refuse ,On land associated with building,N13 6BQ,N13,207191615,20706844,E09000010,ENFIELD,Enfield,E05013673,BOWES,BOWES,531890,192373,531850,192350,51.61474874,-0.096466505,London,Edmonton,757,Hornsey,,,1,1,1,1,364,2
000073-01012023,44927,2023,0.025196759,0,Fire,Secondary Fire,,Outdoor Structure,Large refuse/rubbish container (eg skip/ paladin),In street close to gazetteer location,N15 6RA,N15,10003983796,21106383,E09000014,HARINGEY,Haringey,E05013598,SEVEN SISTERS,SEVEN SISTERS,532776,187982,532750,187950,51.57507795,-0.085341008,London,Tottenham,356,Stoke Newington,,,1,1,1,1,364,1
